subset_data
State,Year,County,Diabetes
VA,1/1/2015,Prince Edward County,0.107
VA,1/1/2014,Prince George County,0.126
VA,1/1/2015,Prince George County,0.125
VA,1/1/2014,Prince William County,0.075
VA,1/1/2015,Prince William County,0.076
VA,1/1/2014,Pulaski County,0.112
VA,1/1/2015,Pulaski County,0.106
VA,1/1/2014,Radford city,0.075
VA,1/1/2015,Radford city,0.072
VA,1/1/2014,Rappahannock County,0.113
VA,1/1/2015,Rappahannock County,0.115
VA,1/1/2014,Richmond County,0.118
VA,1/1/2015,Richmond County,0.118
VA,1/1/2014,Richmond city,0.096
VA,1/1/2015,Richmond city,0.097
VA,1/1/2014,Roanoke County,0.105
VA,1/1/2015,Roanoke County,0.112
VA,1/1/2014,Roanoke city,0.108
VA,1/1/2015,Roanoke city,0.114
VA,1/1/2014,Rockbridge County,0.129
VA,1/1/2015,Rockbridge County,0.127
VA,1/1/2014,Rockingham County,0.097
VA,1/1/2015,Rockingham County,0.1
VA,1/1/2014,Russell County,0.125
VA,1/1/2015,Russell County,0.116
VA,1/1/2014,Salem city,0.108
VA,1/1/2015,Salem city,0.104
VA,1/1/2014,Scott County,0.106
VA,1/1/2015,Scott County,0.119
VA,1/1/2014,Shenandoah County,0.119
VA,1/1/2015,Shenandoah County,0.117
VA,1/1/2014,Smyth County,0.103
VA,1/1/2015,Smyth County,0.106
VA,1/1/2014,Southampton County,0.14
VA,1/1/2015,Southampton County,0.146
VA,1/1/2014,Spotsylvania County,0.1
VA,1/1/2015,Spotsylvania County,0.113
VA,1/1/2014,Stafford County,0.078
VA,1/1/2015,Stafford County,0.086
VA,1/1/2014,Staunton city,0.114
VA,1/1/2015,Staunton city,0.114
VA,1/1/2014,Suffolk city,0.119
VA,1/1/2015,Suffolk city,0.111
VA,1/1/2014,Surry County,0.135
VA,1/1/2015,Surry County,0.141
VA,1/1/2014,Sussex County,0.132
VA,1/1/2015,Sussex County,0.135
VA,1/1/2014,Tazewell County,0.122
VA,1/1/2015,Tazewell County,0.131
VA,1/1/2014,Virginia Beach city,0.09
VA,1/1/2015,Virginia Beach city,0.088
VA,1/1/2014,Warren County,0.115
VA,1/1/2015,Warren County,0.107
VA,1/1/2014,Washington County,0.124
VA,1/1/2015,Washington County,0.117
VA,1/1/2014,Waynesboro city,0.109
VA,1/1/2015,Waynesboro city,0.108
VA,1/1/2014,Westmoreland County,0.128
VA,1/1/2015,Westmoreland County,0.134
VA,1/1/2014,Williamsburg city,0.095
VA,1/1/2015,Williamsburg city,0.095
VA,1/1/2014,Winchester city,0.1
VA,1/1/2015,Winchester city,0.101
VA,1/1/2014,Wise County,0.133
VA,1/1/2015,Wise County,0.132
VA,1/1/2014,Wythe County,0.115
VA,1/1/2015,Wythe County,0.111
VA,1/1/2014,York County,0.093
VA,1/1/2015,York County,0.094
